ftnt_action, action
pass, allowed
passthrough, allowed
log-only, allowed
blocked, blocked
block, blocked
monitored, deferred
analytics, deferred
detected, allowed
dropped, blocked
allowed, allowed
accept, allowed
close, allowed
deny, blocked
dns, allowed
timeout, teardown
ip-conn, allowed
allow, allowed
server-rst, allowed
client-rst, allowed
clear_session, blocked
start, allowed
